median;mean;std;rxns;;;;;;;
0;0;0;3_OXOACYL_ACP_REDUCT_RXN_c;0;;;;;;
0;0;0;3_OXOADIPATE_ENOL_LACTONASE_RXN_c;0;;;;;;
0;0;0;3_OXOLAURATE_DECARBOXYLASE_RXN_c;0;;;;;;
0;2.55E-05;0.000384475;3_PHOSPHOGLYCERATE_PHOSPHATASE_RXN_c;0;;;;;;
0;0;0;3_1_1_78_RXN_c;0;;;;;;
0;0;0;3_1_1_82_RXN_c;0;;;;;;
0;0;0;3_1_2_14_RXN_c;0;;;;;;
0.000346218;0.000348658;1.46E-05;3_1_2_14_RXN_p;0.002121322;;;;;;
0;0;0;3_1_2_21_RXN_c;0;;;;;;
0;4.45E-06;3.39E-05;3_1_2_21_RXN_p;0;;;;;;
0;0;0;3_1_2_23_RXN_c;0;;;;;;
0;2.28E-05;0.000362562;3_1_3_46_RXN_c;0;;;;;;
0;0;0;3_1_3_56_RXN_c;0;;;;;;
0;0;0;3_1_3_57_RXN_c;0;;;;;;
0;1.30E-05;0.000260164;3_1_3_74_RXN_c;0;;;;;;
0;0;0;3_1_3_76_RXN_c;0;;;;;;
0;1.78E-05;8.09E-05;3_1_3_77_RXN_c;0;;;;;;
0;0;0;3_5_1_26_RXN_c;0;;;;;;
0;0;0;3_5_1_86_RXN_c;0;;;;;;
0;9.87E-06;5.34E-05;3_5_2_17_RXN_x;0;;;;;;
0;0;0;3_5_5_4_RXN_c;0;;;;;;
0;0;0;3_6_1_17_RXN_c;0;;;;;;
0;0;0;3_7_1_8_RXN_c;0;;;;;;
0;0;0;3_7_1_9_RXN_c;0;;;;;;
0;9.48E-06;0.000135713;325_BISPHOSPHATE_NUCLEOTIDASE_RXN_c;0;;;;;;
-0.008872593;-0.009402496;0.001565383;3PGAREARR_RXN_p;-0.054363522;;;;;;
-0.005139708;-0.004696133;0.004020276;3PGA_Pi_pc;-0.031491651;;;;;;
0;-6.12E-05;0.00054507;4_AMINO_BUTYRATE_mc;0;;;;;;
0;0;0;4_COUMARATE__COA_LIGASE_RXN_c;0;;;;;;
0;4.46E-06;3.87E-05;4_HYDROXYPHENYLPYRUVATE_DIOXYGENASE_RXN_c;0;;;;;;
0;0;0;4_NITROPHENYLPHOSPHATASE_RXN_c;0;;;;;;
0;1.06E-05;0.000253603;4_1_1_32_RXN_c;0;;;;;;
0;1.89E-05;8.42E-05;4_1_99_4_RXN_c;0;;;;;;
0;0;0;4_2_1_107_RXN_c;0;;;;;;
0.001150673;0.001157828;6.21E-05;4_2_1_58_RXN_p;0.007050323;;;;;;
0.001150673;0.001157828;6.21E-05;4_2_1_59_RXN_p;0.007050323;;;;;;
0.001150351;0.001151321;4.24E-05;4_2_1_61_RXN_p;0.007048346;;;;;;
0;3.74E-05;0.000466355;4_2_1_93_RXN_c;0;;;;;;
0;0;0;4_2_3_19_RXN_c;0;;;;;;
0;0;0;4_2_3_27_RXN_c;0;;;;;;
0;9.10E-06;0.000200285;4_3_1_17_RXN_c;0;;;;;;
0;1.89E-05;8.42E-05;4_4_1_14_RXN_c;0;;;;;;
0;0;0;4_4_1_19_RXN_c;0;;;;;;
0;0;0;4OHBENZOATE_OCTAPRENYLTRANSFER_RXN_c;0;;;;;;
-9.88E-05;-9.89E-05;8.73E-07;5_METHYL_THF_pc;-0.000605401;;;;;;
0;1.89E-05;8.42E-05;5_METHYLTHIORIBOSE_KINASE_RXN_c;0;;;;;;
0;1.34E-05;0.000196192;5_OXOPROLINASE_ATP_HYDROLYSING_RXN_c;0;;;;;;
0;0;0;5_1_1_11_RXN_c;0;;;;;;
0;0;0;5_1_1_17_RXN_c;0;;;;;;
0;2.19E-05;0.000311745;5_1_1_18_RXN_c;0;;;;;;
0;0;0;5_1_2_3_RXN_c;0;;;;;;
0;1.89E-05;8.42E-05;5_3_1_23_RXN_c;0;;;;;;
0;0;0;5_5_1_13_RXN_c;0;;;;;;
0;0;0;6_BETA_HYDROXYHYOSCYAMINE_EPOXIDASE_RXN_c;0;;;;;;
0;2.28E-05;0.000362562;6_PHOSPHOFRUCTO_2_KINASE_RXN_c;0;;;;;;
0;-3.84E-14;3.84E-12;6_2_1_34_RXN_c;0;;;;;;
0;0;0;6_3_2_7_RXN_c;0;;;;;;
0;0;0;6_3_5_6_RXN_c;0;;;;;;
0;0;0;6_3_5_7_RXN_c;0;;;;;;
0;3.46E-05;0.000372764;6PFRUCTPHOS_RXN_c;0;;;;;;
0;7.42E-05;0.000608938;6PFRUCTPHOS_RXN_p;0;;;;;;
0.007828435;0.008043561;0.00104029;6PGLUCONDEHYDROG_RXN_p;0.047965832;;;;;;
0;0.000515592;0.001485607;6PGLUCONOLACT_RXN_c;0;;;;;;
0.007828435;0.008043561;0.00104029;6PGLUCONOLACT_RXN_p;0.047965832;;;;;;
0;0;0;7KAPSYN_RXN_c;0;;;;;;
0;-3.06E-05;0.000270969;ACETALD_mc;0;;;;;;
0;0.000113376;0.000322771;ACETATE__COA_LIGASE_RXN_p;0;;;;;;
0.000320394;0.000339377;0.000435249;ACETATE__COA_LIGASE_RXN_x;0.001963096;;;;;;
-0.001092502;-0.001151081;0.000276592;ACETOLACTREDUCTOISOM_RXN_p;-0.0066939;;;;;;
0.001092502;0.001151081;0.000276592;ACETOLACTSYN_RXN_p;0.0066939;;;;;;
-0.000340652;-0.00035336;0.000116989;ACETOOHBUTREDUCTOISOM_RXN_p;-0.002087218;;;;;;
0.000340652;0.00035336;0.000116989;ACETOOHBUTSYN_RXN_p;0.002087218;;;;;;
0;9.80E-06;0.00011296;ACETYL_COA_ACETYLTRANSFER_RXN_c;0;;;;;;
0;-3.53E-05;0.000202275;ACETYL_COA_ACETYLTRANSFER_RXN_m;0;;;;;;
0;-2.74E-05;0.000187087;ACETYL_COA_ACETYLTRANSFER_RXN_x;0;;;;;;
5.43E-06;2.26E-05;0.000307118;ACETYL_COA_CARBOXYLTRANSFER_RXN_c;3.3289E-05;;;;;;
0.008971988;0.009017721;0.000414889;ACETYL_COA_CARBOXYLTRANSFER_RXN_p;0.054972525;;;;;;
0.000471786;0.000520318;0.000460924;ACETYLGLUTKIN_RXN_p;0.002890695;;;;;;
0;1.24E-05;0.000148375;ACETYLORNDEACET_RXN_p;0;;;;;;
-0.000471786;-0.000520318;0.000460924;ACETYLORNTRANSAM_RXN_p;-0.002890695;;;;;;
0;9.93E-05;0.000383002;ACET_mc;0;;;;;;
0.000320394;0.000200154;0.00042852;ACET_pc;0.001963096;;;;;;
-0.000320394;-0.000339377;0.000435249;ACET_xc;-0.001963096;;;;;;
0.001715763;0.00147693;0.000799095;ACONITATEDEHYDR_RXN_c;0.010512704;;;;;;
0.000259075;0.000558143;0.000696747;ACONITATEDEHYDR_RXN_m;0.001587383;;;;;;
0.001639494;0.001411523;0.00081009;ACONITATEHYDR_RXN_c;0.010045393;;;;;;
0.000259075;0.00062355;0.000718928;ACONITATEHYDR_RXN_m;0.001587383;;;;;;
0;8.52E-05;0.000342894;ACRYLYL_COA_mc;0;;;;;;
0;3.14E-06;6.13E-05;ACRYLYL_COA_xc;0;;;;;;
0;5.92E-06;8.85E-05;ACSERLY_RXN_c;0;;;;;;
0;3.35E-05;0.000145679;ACSERLY_RXN_m;0;;;;;;
0.000320394;0.000301165;0.00016647;ACSERLY_RXN_p;0.001963096;;;;;;
0;3.53E-05;0.000202275;ACTCOA_m;0;;;;;;
0;0;0;ACYLGLYCERONE_PHOSPHATE_REDUCTASE_RXN_c;0;;;;;;
0;-1.24E-13;1.00E-11;ADCLY_RXN_p;0;;;;;;
0;0;0;ADENODEAMIN_RXN_c;0;;;;;;
0;2.84E-05;0.000349871;ADENOSINE_KINASE_RXN_c;0;;;;;;
0;-7.55E-14;7.55E-12;ADENOSINE_NUCLEOSIDASE_RXN_c;0;;;;;;
0;1.05E-05;0.000142403;ADENOSYLHOMOCYSTEINASE_RXN_c;0;;;;;;
0;0;0;ADENOSYLHOMOCYSTEINE_NUCLEOSIDASE_RXN_c;0;;;;;;
0;0;0;ADENPHOSPHOR_RXN_c;0;;;;;;
0;-1.89E-05;8.42E-05;ADENPRIBOSYLTRAN_RXN_c;0;;;;;;
0;2.95E-05;0.000669476;ADENYL_KIN_RXN_c;0;;;;;;
0.01008089;0.010415265;0.001349503;ADENYL_KIN_RXN_m;0.061766912;;;;;;
0.000693739;0.000879661;0.000997571;ADENYL_KIN_RXN_p;0.004250631;;;;;;
0.000141788;0.000151917;5.39E-05;ADENYLOSUCCINATE_SYNTHASE_RXN_p;0.00086875;;;;;;
0;3.24E-05;0.000417856;ADENYLYLSULFATASE_RXN_c;0;;;;;;
0;0;0;ADENYLYLSULFKIN_RXN_c;0;;;;;;
0;0;0;ADENYLYLSULFKIN_RXN_p;0;;;;;;
0;0;0;ADOMET_DMK_METHYLTRANSFER_RXN_c;0;;;;;;
0;5.59E-07;1.25E-05;ADP_DEAMINASE_RXN_c;0;;;;;;
0;3.03E-14;5.22E-12;ADPREDUCT_RXN_c;0;;;;;;
0;4.73E-05;0.001063306;ADP_pc;0;;;;;;
0;8.85E-07;2.08E-05;AGMATIN_RXN_c;0;;;;;;
0;9.95E-07;2.18E-05;AGMATINE_DEIMINASE_RXN_c;0;;;;;;
0;9.87E-06;5.34E-05;AICARSYN_RXN_p;0;;;;;;
0.000141788;0.000151917;5.39E-05;AICARTRANSFORM_RXN_p;0.00086875;;;;;;
0;-9.87E-06;5.34E-05;AIRCARBOXY_RXN_p;0;;;;;;
0;9.87E-06;5.34E-05;AIRS_RXN_p;0;;;;;;
0;0;0;ALANINE__GLYOXYLATE_AMINOTRANSFERASE_RXN_x;0;;;;;;
0.000575875;0.000576245;4.72E-06;ALANINE__TRNA_LIGASE_RXN_c;0.003528459;;;;;;
-0.000575875;-0.000541124;0.000361141;ALANINE_AMINOTRANSFERASE_RXN_c;-0.003528459;;;;;;
0;1.37E-05;0.000272941;ALANINE_AMINOTRANSFERASE_RXN_m;0;;;;;;
0;0;0;ALANINE_AMINOTRANSFERASE_RXN_x;0;;;;;;
0;0;0;ALCOHOL_DEHYDROG_RXN_c;0;;;;;;
0.00025309;0.004065639;0.004891597;ALDOSE_1_EPIMERASE_RXN_c;0.001550712;;;;;;
0;0;0;ALDOSE_6_PHOSPHATE_REDUCTASE_NADPH_RXN_c;0;;;;;;
0;1.62E-05;0.000217141;ALDOSE1EPIM_RXN_c;0;;;;;;
0;1.32E-06;1.98E-05;ALLANTOATE_DEIMINASE_RXN_c;0;;;;;;
0;8.55E-06;4.98E-05;ALLANTOICASE_RXN_c;0;;;;;;
0;9.87E-06;5.34E-05;ALLANTOINASE_RXN_c;0;;;;;;
0;0;0;ALLENE_OXIDE_CYCLASE_RXN_c;0;;;;;;
0;0;0;ALLYL_ALCOHOL_DEHYDROGENASE_RXN_c;0;;;;;;
0;2.74E-05;0.000187087;ALLYSINE_DEHYDROG_RXN_c;0;;;;;;
0;0;0;ALPHA_AMYL_RXN_p;0;;;;;;
0;0;0;ALPHAGALACTOSID_RXN_c;0;;;;;;
0;1.24E-13;1.00E-11;AMINO_OH_HYDROXYMETHYL_DIHYDROPTERIDINE_mc;0;;;;;;
0;5.49E-06;6.02E-05;AMINOBUTDEHYDROG_RXN_c;0;;;;;;
0;0;0;AMINOGLYCOSIDE_N6_ACETYLTRANSFERASE_RXN_c;0;;;;;;
0;0;0;AMMONIA_vc;0;;;;;;
0;8.83E-06;5.08E-05;AMP_DEAMINASE_RXN_c;0;;;;;;
0;1.79E-05;0.000320165;AMP_DEPHOSPHORYLATION_RXN_c;0;;;;;;
0.000141788;0.000151917;5.39E-05;AMPSYN_RXN_p;0.00086875;;;;;;
0.000320394;0.000352207;0.000437211;AMP_ATP_xc;0.001963096;;;;;;
0;0;0;AMP_biomass;0;;;;;;
0;-9.26E-06;0.000781095;AMP_pc;0;;;;;;
0;0;0;ANTHRANILATE_N_METHYLTRANSFERASE_RXN_c;0;;;;;;
8.98E-05;8.99E-05;1.20E-06;ANTHRANSYN_RXN_p;0.000550034;;;;;;
0;0;0;APIGNAR_RXN_c;0;;;;;;
0;5.61E-06;0.000128643;APYRASE_RXN_c;0;;;;;;
0;0;0;ARABINOSE_biomass;0;;;;;;
0;1.14E-06;1.34E-05;ARACHIDIC_ACID_xc;0;;;;;;
0;1.88E-06;3.01E-05;ARGDECARBOX_RXN_c;0;;;;;;
0;7.70E-06;9.73E-05;ARGINASE_RXN_m;0;;;;;;
0.000471786;0.000472095;3.84E-06;ARGININE__TRNA_LIGASE_RXN_c;0.002890695;;;;;;
0.000471786;0.000481678;0.000101769;ARGSUCCINLYA_RXN_c;0.002890695;;;;;;
0.000471786;0.000481678;0.000101769;ARGSUCCINSYN_RXN_c;0.002890695;;;;;;
0;0;0;ARG_CITRULLINE_mc;0;;;;;;
0;0;0;ARG_HIS_mc;0;;;;;;
0;0;0;ARG_LYS_mc;0;;;;;;
0;3.50E-05;0.000471049;ARG_ORNITHINE_mc;0;;;;;;
0;-4.27E-05;0.000460137;ARG_mc;0;;;;;;
0;0;0;ARYLFORMAMIDASE_RXN_c;0;;;;;;
0;0;0;ASCORBATE_CPD_330_mc;0;;;;;;
0;0;0;ASCORBATE_biomass;0;;;;;;
5.11E-05;6.65E-05;0.000181967;ASNSYNA_RXN_c;0.000312832;;;;;;
0;6.12E-06;0.000105676;ASNSYNB_RXN_c;0;;;;;;
-0.000670663;-0.001332122;0.001821362;ASPAMINOTRANS_RXN_c;-0.004109242;;;;;;
-0.003034019;-0.002490663;0.001546852;ASPAMINOTRANS_RXN_m;-0.018589825;;;;;;
