median;mean;std;rxns;;;;;;;
0;3.61E-05;0.000674251;2_7_1_139_RXN_c;0;;;;;;
0;-8.35E-15;8.35E-13;2_7_1_140_RXN_c;0;;;;;;
0;0;0;2_7_1_148_RXN_p;0;;;;;;
0;0;0;2_7_1_151_RXN_c;0;;;;;;
0;0;0;2_7_1_152_RXN_c;0;;;;;;
0.00435153;0.004329959;0.001147515;2_7_1_90_RXN_c;0.091346684;;;;;;
0;0;0;2_7_4_24_RXN_c;0;;;;;;
0;1.21E-05;0.000277107;2_7_7_1_RXN_c;0;;;;;;
0;0;0;2_7_7_11_RXN_c;0;;;;;;
2.18E-05;5.28E-05;0.000635492;2_7_7_13_RXN_c;0.000457425;;;;;;
0;0;0;2_7_7_14_RXN_c;0;;;;;;
0;1.59E-05;0.000317287;2_7_7_15_RXN_c;0;;;;;;
0;7.81E-07;4.06E-06;2_7_7_34_RXN_c;0;;;;;;
0;0;0;2_7_7_44_RXN_c;0;;;;;;
0;0;0;2_7_7_57_RXN_c;0;;;;;;
0;0;0;2_7_7_60_RXN_p;0;;;;;;
0;0;0;2_8_2_26_RXN_c;0;;;;;;
0;0;0;2_8_2_27_RXN_c;0;;;;;;
0;0;0;2_8_2_28_RXN_c;0;;;;;;
0;0;0;23_DIMETHYLMALATE_LYASE_RXN_c;0;;;;;;
0;1.03E-05;9.89E-05;2KETO_3METHYLVALERATE_RXN_m;0;;;;;;
0;1.69E-05;0.000132504;2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m;0;;;;;;
0;4.65E-05;0.000303017;2KETOBUTYRYL_TRANS_mc;0;;;;;;
0;2.07E-05;0.000158096;2KG_2K_ADIPATE_mc;0;;;;;;
0;4.39E-06;5.52E-05;2KG_ACONITATE_mc;0;;;;;;
0;-4.61E-07;4.51E-05;2KG_CIT_mc;0;;;;;;
0.002706757;0.002266437;0.001581192;2KG_ISOCITRATE_mc;0.056819835;;;;;;
0;-2.24E-05;0.000833413;2KG_MAL_mc;0;;;;;;
-0.001665522;-0.001809072;0.003156236;2KG_MAL_pc;-0.034962401;;;;;;
0;0.000445373;0.002298831;2KG_OAA_mc;0;;;;;;
0;0.000192016;0.000767341;2KG_SUC_mc;0;;;;;;
0;3.68E-05;0.000201656;2OXOBUT_TRANS_mc;0;;;;;;
0;2.20E-06;0.000174615;2OXOBUT_TRANS_pc;0;;;;;;
0;4.89E-05;0.000228652;2OXOGLUTARATEDEH_RXN_m;0;;;;;;
0;0;0;2OXOGLUTDECARB_RXN_m;0;;;;;;
0.013819211;0.013516358;0.001137147;2PGADEHYDRAT_RXN_c;0.29009084;;;;;;
0.00042551;0.000487928;0.000542518;2PGADEHYDRAT_RXN_p;0.008932234;;;;;;
0;0;0;2PHENYLETHANOL_biomass;0;;;;;;
-0.001631495;-0.001765895;0.000422457;2TRANSKETO_RXN_p;-0.034248109;;;;;;
0;-4.81E-14;2.96E-12;3_CH3_2_OXOBUTANOATE_OH_CH3_XFER_RXN_c;0;;;;;;
0;0;0;3_CYANOALANINE_HYDRATASE_RXN_c;0;;;;;;
0.000212755;0.000220334;6.39E-05;3_DEHYDROQUINATE_DEHYDRATASE_RXN_p;0.004466117;;;;;;
0.000212755;0.000220334;6.39E-05;3_DEHYDROQUINATE_SYNTHASE_RXN_p;0.004466117;;;;;;
0;0;0;3_DEHYDROSPHINGANINE_REDUCTASE_RXN_c;0;;;;;;
0;-2.07E-05;0.000158096;3_HYDROXBUTYRYL_COA_DEHYDRATASE_RXN_x;0;;;;;;
0;-2.44E-14;2.44E-12;3_HYDROXY_PROPIONATE_mc;0;;;;;;
0;0;0;3_HYDROXYBENZOATE_6_MONOOXYGENASE_RXN_c;0;;;;;;
0;0;0;3_HYDROXYBUTYRYL_COA_DEHYDROGENASE_RXN_c;0;;;;;;
0;1.10E-05;0.000106773;3_HYDROXYISOBUTYRATE_DEHYDROGENASE_RXN_m;0;;;;;;
0;1.10E-05;0.000106773;3_HYDROXYISOBUTYRYL_COA_HYDROLASE_RXN_m;0;;;;;;
0;-2.44E-14;2.44E-12;3_HYDROXYPROPIONATE_DEHYDROGENASE_RXN_c;0;;;;;;
0;5.81E-05;0.000245055;3_HYDROXYPROPIONATE_DEHYDROGENASE_RXN_m;0;;;;;;
0.000201;0.000218295;0.000133983;3_ISOPROPYLMALDEHYDROG_RXN_p;0.004219363;;;;;;
0.000201;0.000218295;0.000133983;3_ISOPROPYLMALISOM_RXN_p;0.004219363;;;;;;
0;0;0;3_OXOACYL_ACP_REDUCT_RXN_c;0;;;;;;
0;0;0;3_OXOADIPATE_ENOL_LACTONASE_RXN_c;0;;;;;;
0;0;0;3_OXOLAURATE_DECARBOXYLASE_RXN_c;0;;;;;;
0;4.56E-05;0.000758407;3_PHOSPHOGLYCERATE_PHOSPHATASE_RXN_c;0;;;;;;
0;0;0;3_1_1_78_RXN_c;0;;;;;;
0;0;0;3_1_1_82_RXN_c;0;;;;;;
0;0;0;3_1_2_14_RXN_c;0;;;;;;
0.000317281;0.000320366;1.86E-05;3_1_2_14_RXN_p;0.006660316;;;;;;
0;0;0;3_1_2_21_RXN_c;0;;;;;;
0;5.98E-06;4.28E-05;3_1_2_21_RXN_p;0;;;;;;
0;0;0;3_1_2_23_RXN_c;0;;;;;;
0;3.91E-05;0.000702139;3_1_3_46_RXN_c;0;;;;;;
0;0;0;3_1_3_56_RXN_c;0;;;;;;
0;0;0;3_1_3_57_RXN_c;0;;;;;;
0;3.81E-05;0.000674787;3_1_3_74_RXN_c;0;;;;;;
0;0;0;3_1_3_76_RXN_c;0;;;;;;
0;1.66E-05;8.39E-05;3_1_3_77_RXN_c;0;;;;;;
0;0;0;3_5_1_26_RXN_c;0;;;;;;
0;0;0;3_5_1_86_RXN_c;0;;;;;;
0;8.69E-06;5.20E-05;3_5_2_17_RXN_x;0;;;;;;
0;0;0;3_5_5_4_RXN_c;0;;;;;;
0;0;0;3_6_1_17_RXN_c;0;;;;;;
0;0;0;3_7_1_8_RXN_c;0;;;;;;
0;0;0;3_7_1_9_RXN_c;0;;;;;;
0;1.77E-05;0.000272385;325_BISPHOSPHATE_NUCLEOTIDASE_RXN_c;0;;;;;;
-0.00042551;-0.000487928;0.000542518;3PGAREARR_RXN_p;-0.008932234;;;;;;
0.005521489;0.005244795;0.001833389;3PGA_Pi_pc;0.115906272;;;;;;
0;-2.86E-05;0.000229407;4_AMINO_BUTYRATE_mc;0;;;;;;
0;-2.73E-14;2.67E-12;4_COUMARATE__COA_LIGASE_RXN_c;0;;;;;;
0;7.10E-06;6.23E-05;4_HYDROXYPHENYLPYRUVATE_DIOXYGENASE_RXN_c;0;;;;;;
0;0;0;4_NITROPHENYLPHOSPHATASE_RXN_c;0;;;;;;
0;1.44E-05;0.000424152;4_1_1_32_RXN_c;0;;;;;;
0;1.77E-05;8.74E-05;4_1_99_4_RXN_c;0;;;;;;
0;0;0;4_2_1_107_RXN_c;0;;;;;;
0.001447066;0.001463852;7.88E-05;4_2_1_58_RXN_p;0.030376597;;;;;;
0.001447066;0.001463852;7.88E-05;4_2_1_59_RXN_p;0.030376597;;;;;;
0.001447;0.001455546;5.32E-05;4_2_1_61_RXN_p;0.030375201;;;;;;
0;8.06E-05;0.001005679;4_2_1_93_RXN_c;0;;;;;;
0;0;0;4_2_3_19_RXN_c;0;;;;;;
0;0;0;4_2_3_27_RXN_c;0;;;;;;
0;1.30E-05;0.000240799;4_3_1_17_RXN_c;0;;;;;;
0;1.77E-05;8.74E-05;4_4_1_14_RXN_c;0;;;;;;
0;0;0;4_4_1_19_RXN_c;0;;;;;;
0;0;0;4OHBENZOATE_OCTAPRENYLTRANSFER_RXN_c;0;;;;;;
-2.97E-05;-2.97E-05;4.31E-07;5_METHYL_THF_pc;-0.000622944;;;;;;
0;1.77E-05;8.74E-05;5_METHYLTHIORIBOSE_KINASE_RXN_c;0;;;;;;
0;2.74E-05;0.000414533;5_OXOPROLINASE_ATP_HYDROLYSING_RXN_c;0;;;;;;
0;0;0;5_1_1_11_RXN_c;0;;;;;;
0;0;0;5_1_1_17_RXN_c;0;;;;;;
0;3.67E-05;0.000480108;5_1_1_18_RXN_c;0;;;;;;
0;0;0;5_1_2_3_RXN_c;0;;;;;;
0;1.77E-05;8.74E-05;5_3_1_23_RXN_c;0;;;;;;
0;0;0;5_5_1_13_RXN_c;0;;;;;;
0;0;0;6_BETA_HYDROXYHYOSCYAMINE_EPOXIDASE_RXN_c;0;;;;;;
0;3.91E-05;0.000702139;6_PHOSPHOFRUCTO_2_KINASE_RXN_c;0;;;;;;
0;0;0;6_2_1_34_RXN_c;0;;;;;;
0;0;0;6_3_2_7_RXN_c;0;;;;;;
0;0;0;6_3_5_6_RXN_c;0;;;;;;
0;0;0;6_3_5_7_RXN_c;0;;;;;;
0;0.000106083;0.001057562;6PFRUCTPHOS_RXN_c;0;;;;;;
0;0.000143834;0.001207419;6PFRUCTPHOS_RXN_p;0;;;;;;
0;1.83E-05;0.000251936;6PGLUCONDEHYDROG_RXN_p;0;;;;;;
0;8.13E-05;0.000593333;6PGLUCONOLACT_RXN_c;0;;;;;;
0;1.83E-05;0.000251936;6PGLUCONOLACT_RXN_p;0;;;;;;
0;0;0;7KAPSYN_RXN_c;0;;;;;;
0;-1.83E-05;0.000325182;ACETALD_mc;0;;;;;;
9.17E-05;0.000578838;0.001337265;ACETATE__COA_LIGASE_RXN_p;0.001925196;;;;;;
4.52E-06;8.77E-05;0.000493536;ACETATE__COA_LIGASE_RXN_x;9.47836E-05;;;;;;
-0.000328121;-0.000356732;0.000170459;ACETOLACTREDUCTOISOM_RXN_p;-0.006887857;;;;;;
0.000328121;0.000356732;0.000170459;ACETOLACTSYN_RXN_p;0.006887857;;;;;;
-0.000102311;-0.000114025;9.92E-05;ACETOOHBUTREDUCTOISOM_RXN_p;-0.002147702;;;;;;
0.000102311;0.000114025;9.92E-05;ACETOOHBUTSYN_RXN_p;0.002147702;;;;;;
0;3.94E-05;0.000297405;ACETYL_COA_ACETYLTRANSFER_RXN_c;0;;;;;;
0;-6.34E-05;0.000329309;ACETYL_COA_ACETYLTRANSFER_RXN_m;0;;;;;;
0;-2.07E-05;0.000158096;ACETYL_COA_ACETYLTRANSFER_RXN_x;0;;;;;;
4.52E-06;4.14E-05;0.000666528;ACETYL_COA_CARBOXYLTRANSFER_RXN_c;9.47836E-05;;;;;;
0.011385105;0.011499474;0.000528434;ACETYL_COA_CARBOXYLTRANSFER_RXN_p;0.238994437;;;;;;
0.000156611;0.000402526;0.001699234;ACETYLGLUTKIN_RXN_p;0.003287548;;;;;;
0;2.33E-05;0.00031207;ACETYLORNDEACET_RXN_p;0;;;;;;
-0.000156611;-0.000402526;0.001699234;ACETYLORNTRANSAM_RXN_p;-0.003287548;;;;;;
0;0.000232692;0.000724633;ACET_mc;0;;;;;;
4.52E-06;-0.000467704;0.001319285;ACET_pc;9.47836E-05;;;;;;
-4.52E-06;-8.77E-05;0.000493536;ACET_xc;-9.47836E-05;;;;;;
0;1.53E-05;0.0001288;ACONITATEDEHYDR_RXN_c;0;;;;;;
0;2.80E-05;0.000213883;ACONITATEDEHYDR_RXN_m;0;;;;;;
0;2.40E-06;7.60E-05;ACONITATEHYDR_RXN_c;0;;;;;;
0;4.09E-05;0.000266179;ACONITATEHYDR_RXN_m;0;;;;;;
0;5.81E-05;0.000245055;ACRYLYL_COA_mc;0;;;;;;
0;3.70E-06;6.66E-05;ACRYLYL_COA_xc;0;;;;;;
0;8.60E-06;0.000138466;ACSERLY_RXN_c;0;;;;;;
0;0.000150959;0.000496663;ACSERLY_RXN_m;0;;;;;;
9.62E-05;8.78E-05;0.000218177;ACSERLY_RXN_p;0.002019979;;;;;;
0;6.34E-05;0.000329309;ACTCOA_m;0;;;;;;
0;0;0;ACYLGLYCERONE_PHOSPHATE_REDUCTASE_RXN_c;0;;;;;;
0;-3.56E-15;3.56E-13;ADCLY_RXN_p;0;;;;;;
0;-1.45E-14;1.45E-12;ADENODEAMIN_RXN_c;0;;;;;;
0;5.59E-05;0.000680616;ADENOSINE_KINASE_RXN_c;0;;;;;;
0;9.32E-15;6.62E-13;ADENOSINE_NUCLEOSIDASE_RXN_c;0;;;;;;
0;2.83E-05;0.000345193;ADENOSYLHOMOCYSTEINASE_RXN_c;0;;;;;;
0;0;0;ADENOSYLHOMOCYSTEINE_NUCLEOSIDASE_RXN_c;0;;;;;;
0;0;0;ADENPHOSPHOR_RXN_c;0;;;;;;
0;-1.77E-05;8.74E-05;ADENPRIBOSYLTRAN_RXN_c;0;;;;;;
0.001676406;0.001607297;0.002167385;ADENYL_KIN_RXN_c;0.035190865;;;;;;
0.000528518;0.000914255;0.001112863;ADENYL_KIN_RXN_m;0.011094566;;;;;;
0.001335908;0.002197818;0.002504958;ADENYL_KIN_RXN_p;0.028043179;;;;;;
4.26E-05;5.14E-05;5.21E-05;ADENYLOSUCCINATE_SYNTHASE_RXN_p;0.000893924;;;;;;
